Ligando,Pose,Affinity,CNNscore,CNNaffinity
ligando_051,1,-8.18,0.3978,6.657
ligando_051,2,-10.09,0.3452,6.117
ligando_051,3,-10.86,0.233,5.959
ligando_051,4,-9.04,0.1743,5.991
ligando_051,5,-10.58,0.1584,5.182
ligando_051,6,-10.84,0.1253,5.218
ligando_051,7,-9.92,0.1105,5.767
ligando_051,8,-9.2,0.1097,5.714
ligando_051,9,-10.64,0.1039,5.216
ligando_051,10,-10.52,0.1017,5.244
ligando_052,1,-10.14,0.2785,6.302
ligando_052,2,-6.42,0.1036,5.838
ligando_052,3,-9.02,0.0978,5.889
ligando_052,4,-8.77,0.0858,5.598
ligando_052,5,-8.09,0.0738,5.513
ligando_052,6,-8.69,0.0675,4.859
ligando_052,7,-8.86,0.0589,5.003
ligando_052,8,-9.63,0.0572,5.125
ligando_052,9,-8.77,0.0571,5.275
ligando_052,10,-6.52,0.056,4.465
ligando_053,1,-7.4,0.2099,6.012
ligando_053,2,-9.25,0.1649,6.241
ligando_053,3,-9.06,0.1067,6.051
ligando_053,4,-8.35,0.0891,6.018
ligando_053,5,-8.25,0.0803,5.894
ligando_053,6,-9.26,0.0758,5.693
ligando_053,7,-6.61,0.0753,5.777
ligando_053,8,-9.72,0.0672,5.023
ligando_053,9,-8.43,0.0662,5.653
ligando_053,10,-7.77,0.045,5.553
ligando_054,1,-8.34,0.5892,6.417
ligando_054,2,-8.46,0.2643,5.753
ligando_054,3,-8.21,0.1747,5.487
ligando_054,4,-7.48,0.1343,5.67
ligando_054,5,-7.73,0.131,5.698
ligando_054,6,-8.07,0.1202,5.167
ligando_054,7,-8.59,0.1167,5.076
ligando_054,8,-7.18,0.1042,5.4
ligando_054,9,-7.34,0.1003,5.498
ligando_054,10,-8.78,0.0989,5.646
ligando_055,1,-9.77,0.1503,6.057
ligando_055,2,-9.43,0.1469,5.763
ligando_055,3,-9.04,0.1462,6.298
ligando_055,4,-8.91,0.1433,5.644
ligando_055,5,-8.62,0.1417,6.143
ligando_055,6,-9.38,0.1293,5.589
ligando_055,7,-9.59,0.1216,5.199
ligando_055,8,-9.76,0.1197,5.502
ligando_055,9,-8.74,0.1173,5.402
ligando_055,10,-7.77,0.1133,5.88
ligando_056,1,-8.34,0.4017,6.015
ligando_056,2,-8.28,0.3903,5.771
ligando_056,3,-7.64,0.3644,5.608
ligando_056,4,-8.56,0.3203,5.492
ligando_056,5,-8.25,0.2674,5.875
ligando_056,6,-8.55,0.1712,5.263
ligando_056,7,-8.18,0.1362,5.359
ligando_056,8,-7.69,0.0802,5.088
ligando_056,9,-8.14,0.0711,5.065
ligando_056,10,-8.01,0.0676,4.621
ligando_057,1,7.61,0.2579,5.234
ligando_057,2,-8.91,0.2109,5.608
ligando_057,3,-5.85,0.1754,5.311
ligando_057,4,-8.86,0.1414,5.24
ligando_057,5,-4.96,0.0777,5.122
ligando_057,6,-7.9,0.0684,5.253
ligando_057,7,-8.17,0.0644,5.104
ligando_057,8,-7.23,0.0585,5.029
ligando_057,9,-5.87,0.0578,4.722
ligando_057,10,-6.45,0.057,4.597
ligando_058,1,-8.24,0.4038,6.195
ligando_058,2,-7.62,0.2885,5.786
ligando_058,3,-7.69,0.2712,5.769
ligando_058,4,-7.19,0.2031,5.543
ligando_058,5,-7.26,0.1768,5.637
ligando_058,6,-7.19,0.17,4.919
ligando_058,7,-7.25,0.1663,5.522
ligando_058,8,-6.65,0.1367,4.622
ligando_058,9,-7.44,0.1311,5.397
ligando_058,10,-8.03,0.1276,5.338
ligando_059,1,-8.51,0.2029,6.148
ligando_059,2,-8.27,0.184,6.108
ligando_059,3,-8.17,0.1805,5.854
ligando_059,4,-9.22,0.1568,5.184
ligando_059,5,-9.05,0.1371,5.413
ligando_059,6,-8.62,0.128,5.675
ligando_059,7,-8.04,0.121,5.037
ligando_059,8,-8.58,0.1142,5.974
ligando_059,9,-8.31,0.1111,5.883
ligando_059,10,-7.85,0.0981,6.07
ligando_060,1,0.93,0.3161,6.188
ligando_060,2,-2.16,0.2296,6.259
ligando_060,3,-4.17,0.212,6.398
ligando_060,4,-8.56,0.1981,6.517
ligando_060,5,-3.95,0.1851,6.272
ligando_060,6,-8.25,0.185,6.454
ligando_060,7,-10.33,0.1565,6.816
ligando_060,8,-9.97,0.1123,6.328
ligando_060,9,-8.22,0.097,6.379
ligando_060,10,-7.77,0.0959,5.756
ligando_061,1,-9.21,0.5464,6.795
ligando_061,2,-7.81,0.3194,6.002
ligando_061,3,-8.4,0.177,6.046
ligando_061,4,-7.98,0.1333,5.9
ligando_061,5,-8.39,0.1285,5.911
ligando_061,6,-8.46,0.1254,5.46
ligando_061,7,-7.77,0.1063,5.566
ligando_061,8,-8.38,0.1061,5.155
ligando_061,9,31.66,0.101,5.066
ligando_061,10,-8.3,0.0919,5.678
ligando_062,1,-8.56,0.2502,6.723
ligando_062,2,-10.45,0.1699,6.073
ligando_062,3,-8.89,0.1606,6.521
ligando_062,4,-10.3,0.1246,4.737
ligando_062,5,-8.93,0.1209,5.641
ligando_062,6,-9.45,0.097,6.189
ligando_062,7,-8.4,0.091,5.542
ligando_062,8,-9.75,0.0859,5.419
ligando_062,9,-9.53,0.0714,5.953
ligando_062,10,-8.62,0.0677,5.248
ligando_063,1,-10.36,0.1711,5.861
ligando_063,2,-11.81,0.0837,5.787
ligando_063,3,-12.34,0.0731,5.687
ligando_063,4,-9.77,0.0666,5.867
ligando_063,5,-10.3,0.0644,5.711
ligando_063,6,-11.9,0.0499,4.705
ligando_063,7,-11.08,0.0487,5.489
ligando_063,8,-12.53,0.0387,4.75
ligando_063,9,-12.02,0.0385,4.534
ligando_063,10,-11.91,0.0385,5.038
ligando_064,1,-9.84,0.4579,7.221
ligando_064,2,-1.63,0.2183,5.345
ligando_064,3,-9.37,0.1557,6.589
ligando_064,4,-2.76,0.1525,5.046
ligando_064,5,-6.69,0.1349,5.521
